veve_uuid,series_uuid,supply,first_public,edition_type
000220e0-1e4c-4402-b113-a632ff3905e5,6bfa364f-fa1b-43a7-9f1f-486d932312a8,1000,11,7
00065b2d-9e98-4876-963e-8cf0d6754b8e,49d8a4f6-2a91-4e6f-ac46-fd0ccf41e3e8,1000,11,5
0009ca4d-f7e4-4042-85d2-6940ac60f0dc,7d2b0964-1e41-4902-876a-dc627d21bc5e,1000,11,3
000ae268-50c6-4acd-a306-85d26f79ff6e,72eea52a-3e69-426d-96a1-bbb844d6aab2,1000,11,9
000c436e-9c4e-41a7-9e21-b7a2911dce66,8fa33662-ca41-4be7-b833-f5cf60c211ad,1000,11,2
000dc166-027d-47e2-b5f1-cf8e9812e2d2,42d9e84c-36b7-48dd-8a08-2dc9da86eb8f,1000,11,1
000e596a-3878-4d12-a54d-726351330961,7e5fc952-e3d9-41fc-a759-5ad2e58bbd30,1000,11,16
00137619-3b9a-48e5-9c02-580eba9bab4b,00540902-8ac8-4e76-8ea1-b0113302d356,1000,11,1
001482b6-4162-43fb-946a-15ac81b8486b,3d2502f5-3dcd-453e-9eeb-138cce29844d,1000,11,1
00166f2e-76bf-496f-a78f-8654c808d7e6,305f71ba-5bd6-4dbc-af94-a52e8b9f839b,1000,11,33
001740a7-54ef-40a0-a0af-343010d300d1,c3287f46-6bfc-4b92-b256-8009ed308d96,30000,140,#131
00184e10-ed93-44db-9e64-e7035db7184d,6ec56a94-89d8-40b6-8eaf-ad090da8048a,1000,11,1
001e3349-04e0-4d20-9943-0e0b1e137545,64e9bea5-6024-4438-ae99-5083c90a367a,30000,201,#16
00216e93-3c22-46d0-8658-0a4b1e377239,1f5cb63d-8f63-4943-941f-36ae70103c35,1000,11,5
002ba989-0ca5-46a5-af26-7ee1a89fa376,7d2b0964-1e41-4902-876a-dc627d21bc5e,1000,11,3
002d7d9a-9ad4-477c-aae4-faf01bcf8737,c994c627-373c-41da-a281-35aa1bc2d7a2,1000,11,2
00384c92-b6c0-4d9b-b0b3-1d6c88f560d0,a0650f51-29a0-44e8-bd43-e54e93aa158d,1000,11,6
003c3e5e-8c92-4c44-86bf-f40d9533e492,5097b425-b13c-44bb-ba07-6b01fc04b5fd,7500,176,4
004434cb-6ab4-4b16-9858-5f554f0c2520,4872cd91-9593-4a6a-9799-9a2ae5ece517,555,41,FE
0044ef0b-fc81-4013-aa76-23bb9eb1c3df,e015badd-7c61-4628-9a4c-6515ebff0c45,1000,11,10
0045f367-893e-4828-b52e-0a05427076e1,c575ee2d-471b-4837-8b35-2a4bcd7c615d,699,21,FE
00470dd0-bd82-43db-99f0-f236ecac1cc7,de242e34-c3fa-44f7-bde3-ad7452d186c1,1000,11,2
004a1a08-940a-434d-9871-a6b46b3897ce,856ae875-5ff7-4383-8d81-04baabf0a72a,1000,11,3
0051bebf-b9a1-4248-b1cf-8c6993288d80,1b7d0e9b-dbcf-4528-9c8a-2f4b135f353a,1000,11,4
00556d16-f158-46b9-8ccc-c0b1e20b0072,b19e7646-5c04-42a8-b49c-8e76a76f7330,1000,11,2
005c3c73-0555-411e-bdae-730745900036,a3480b5a-ed8a-487d-aa26-291103e19fb1,1000,11,1
0061826c-98d1-4888-a551-0ffb2e3ee697,34c73987-8289-4ba3-a1b4-b86bf0b3161e,1000,11,1
006c61aa-8cf5-4a68-99b1-54d7a7eb503b,066ca28b-a481-447e-a6e8-496a1fa3d1ed,1000,11,2
006f9213-df43-4787-9212-06b2c7b99920,2f2e73ce-82e6-4f50-8a3f-ab7718656e60,1000,11,1
0074848d-496d-4158-b317-6ae825152bc8,0cb6514d-3408-4e1c-a948-0c7e55f4dd0b,1000,11,32
0074a711-3258-4694-9bba-81a56c9a9c2b,fe5986c3-6005-4985-9470-69007abfec5c,10000,186,83
0075ab01-b431-48be-bcf7-b87907ae3e74,e2b0ddd1-af75-4eff-ba23-baa124eb192f,1000,11,1
00771b94-12cb-4fc3-8875-b0ca1dbb990d,c9f74f28-f3a9-42dc-b5ec-3e36e5ea05c3,1000,11,6
0077fe5a-4750-45b2-8833-8b219a56a013,1f0ccdbf-f46c-45aa-bd6a-0b1cfc09e4eb,1000,11,1
