date,drop_usd,drop_tx,market_veve_usd,market_veve_tx,market_stackr_usd,market_stackr_tx,transfers,admin_tx,other_usd,other_tx,outlier_usd,outlier_tx
2026-07-07,10456.95,560,9276.96,467,9351.1,198,198,73,49.98,3,0.0,0
2026-07-08,9573.08,455,10161.75,405,6861.01,148,148,102,1699.99,11,1000000.0,1
2026-07-09,44921.6,1303,26077.52,865,27095.82,210,210,69,722.68,6,166665.0,3
2026-07-10,3661.8,230,12776.86,548,11739.0,194,194,63,149.24,8,0.0,0
2026-07-11,15532.66,373,10154.4,463,11744.24,132,133,86,3.99,1,300000.0,3
2026-07-12,4728.63,263,8439.44,466,5161.93,133,133,76,122.99,2,0.0,0
2026-07-13,23649.31,1026,51544.51,1750,9212.7,190,190,79,1342.78,67,0.0,0
2026-07-14,15034.67,1350,52498.98,827,7355.92,103,103,76,96.47,6,0.0,0
2026-07-15,9442.23,824,8926.67,600,7621.08,124,124,100,141.14,11,0.0,0
2026-07-16,8262.63,690,63889.99,766,24324.68,208,208,54,11742.11,103,80000.0,1
2026-07-17,22019.29,3993,9312.18,1198,10077.04,262,262,31,6015.48,355,0.0,0
2026-07-18,24249.1,2087,9116.86,801,10444.09,243,243,54,156.53,6,100000.0,1
2026-07-19,27125.83,1019,12848.91,772,8713.61,190,190,43,12148.21,206,0.0,0
2026-07-20,9072.22,500,12027.94,856,16758.23,158,158,34,813.31,17,0.0,0
2026-07-21,3575.57,618,19549.55,531,4312.08,171,171,29,567.94,13,0.0,0
2026-07-22,16600.69,597,13147.5,668,5920.6,273,273,46,396.34,8,15000000.0,15
2026-07-23,781046.2,10313,102923.52,3184,50888.95,363,362,30,73042.95,29,100000.0,1
2026-07-24,23252.3,1090,35755.2,1324,50642.37,484,484,11,81158.57,35,2000000.0,2
2026-07-25,79645.3,1503,26671.49,1220,28437.65,353,354,5,7924.53,9,0.0,0
2026-07-26,13843.0,459,22589.31,1066,22207.63,258,258,19,5402.63,225,0.0,0
2026-07-27,3243.29,389,25659.79,1386,15384.86,217,217,28,1558.24,34,0.0,0
2026-07-28,3716.91,467,19700.07,741,21656.47,282,282,75,508.8,11,0.0,0
2026-07-29,10873.85,497,20420.77,669,26153.21,208,208,10,767.66,15,0.0,0
2026-07-30,5265.55,1001,16405.22,779,10162.16,157,157,31,291.48,4,5194194.0,2
2026-07-31,2932.68,318,17081.04,786,21280.12,324,324,41,460.1,7,10260000.0,1
2026-08-01,21577.25,1460,28983.74,1109,17167.11,200,200,31,655.21,15,88888.0,1
2026-08-02,117273.4,1742,28849.35,1229,21936.28,224,225,25,499.69,8,4299777.0,5
2026-08-03,23542.93,724,17619.83,867,26416.81,251,251,20,955.42,7,0.0,0
2026-08-04,10747.58,396,10410.78,688,26164.21,463,463,37,103.48,4,177776.0,2
2026-08-05,11703.03,580,15336.35,832,19071.09,177,177,63,559.5,5,0.0,0
2026-08-06,2592.54,176,11660.82,550,19740.74,116,116,18,160.0,4,0.0,0
2026-08-07,8395.76,312,8363.03,537,15805.33,180,180,38,33.49,3,1000000.0,1
2026-08-08,27994.46,989,24633.83,566,10912.5,184,184,19,46.75,4,0.0,0
2026-08-09,13267.81,2314,13251.16,950,30097.42,217,217,15,3278.38,164,0.0,0
2026-08-10,66870.63,623,28170.04,1034,14872.22,270,270,351,312.75,14,0.0,0
2026-08-11,4475.41,454,22099.39,713,49252.01,264,264,19,2771.58,20,0.0,0
2026-08-12,387098.05,573,10947.14,624,56526.28,284,284,52,14559.45,16,0.0,0
2026-08-13,8129.96,674,16599.4,820,16240.65,246,246,18,730.47,8,0.0,0
2026-08-14,17721.85,2490,15592.07,1036,5694.33,210,210,19,47.0,3,0.0,0
2026-08-15,7299.11,682,14482.88,861,16930.79,301,301,44,239.46,9,0.0,0
2026-08-16,36604.09,1079,20136.97,892,40870.74,460,460,35,2252.25,122,0.0,0
2026-08-17,4997.01,430,16535.53,999,19337.73,398,398,23,596.09,26,0.0,0
2026-08-18,10166.68,865,49897.44,667,24124.79,231,231,1908,712.0,7,0.0,0
2026-08-19,35646.54,613,17767.95,650,25723.31,413,413,26,191.44,7,0.0,0
2026-08-20,13056.3,1169,10397.82,733,26137.25,276,276,37,73.27,6,0.0,0
2026-08-21,5322.58,320,18342.31,497,22421.74,245,245,34,123.89,2,0.0,0
2026-08-22,4276.59,218,7360.0,610,32889.08,132,132,25,59.0,3,0.0,0
2026-08-23,12015.95,307,33587.87,518,19284.35,139,139,31,12.98,1,142000.0,1
2026-08-24,27114.66,788,15059.99,616,24309.47,112,112,35,1968.27,97,426000.0,3
2026-08-25,3792.26,265,16984.08,516,31353.24,288,288,233,679.43,17,130000.0,2
2026-08-26,17052.74,688,12044.68,590,39681.59,194,194,29,444.69,15,0.0,0
2026-08-27,6374.8,292,12512.07,584,33360.66,213,213,21,143.78,8,0.0,0
2026-08-28,4025.18,235,18305.67,603,21990.12,178,180,23,9218.16,14,262262.0,2
2026-08-29,9344.16,390,17147.4,498,8615.13,178,178,25,59.88,4,142000.0,1
2026-08-30,45418.92,1159,18200.52,673,25665.54,189,189,25,155.98,8,0.0,0
2026-08-31,28.29,4,14.99,3,0.0,0,0,0,0.0,0,0.0,0
